Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,56.160000,57.099998,56.150002,56.980000,54.007519,2906500
2022-01-04,57.250000,59.000000,57.250000,58.490002,55.438747,5745700
2022-01-05,58.369999,59.500000,57.869999,57.980000,54.955353,6049000
2022-01-06,57.980000,58.700001,57.580002,58.040001,55.012222,3751300
2022-01-07,58.099998,58.470001,57.320000,57.990002,54.964832,3516200
2022-01-10,59.169998,60.009998,58.610001,59.880001,56.756229,10511600
2022-01-11,60.000000,60.680000,59.730000,60.250000,57.106930,7313500
2022-01-12,60.450001,60.509998,59.119999,59.950001,56.822578,3098100
2022-01-13,60.500000,60.730000,59.869999,60.169998,57.031101,4133000
2022-01-14,59.980000,60.770000,59.639999,60.529999,57.372322,5790400
2022-01-18,60.279999,60.810001,59.400002,59.480000,56.377102,5053900
2022-01-19,60.000000,60.459999,57.930000,57.959999,54.936394,3957500
2022-01-20,58.230000,59.049999,57.349998,57.400002,54.405609,2893700
2022-01-21,57.230000,57.250000,55.259998,55.570000,52.671074,4212100
2022-01-24,54.779999,55.590000,53.430000,55.419998,52.528900,5523700
2022-01-25,54.849998,56.029999,53.599998,55.439999,52.547855,4421900
2022-01-26,56.189999,56.730000,54.950001,55.340000,52.453072,3126700
2022-01-27,55.840000,57.599998,55.049999,55.450001,52.557331,4359300
2022-01-28,55.450001,56.380001,54.709999,56.240002,53.306129,3920500
2022-01-31,56.220001,56.810001,55.950001,56.810001,53.846390,3319000
2022-02-01,56.880001,58.619999,56.490002,58.570000,55.514572,3395200
2022-02-02,58.990002,59.709999,58.660000,59.400002,56.301277,3886500
2022-02-03,58.910000,60.099998,58.840000,59.200001,56.111706,2814900
2022-02-04,59.080002,59.310001,58.250000,58.740002,55.675705,1952100
2022-02-07,59.080002,59.630001,58.840000,58.959999,55.884220,2132500
2022-02-08,59.110001,60.029999,58.619999,59.950001,56.822578,2933500
2022-02-09,60.290001,61.000000,60.060001,60.770000,57.599804,3346900
2022-02-10,60.439999,61.540001,60.139999,60.720001,57.552414,3676800
2022-02-11,60.750000,61.299999,59.349998,59.509998,56.405537,2449800
2022-02-14,59.200001,59.650002,58.230000,58.599998,55.543007,2902500
2022-02-15,58.900002,60.430000,58.860001,59.820000,56.699368,3400900
2022-02-16,59.360001,60.540001,59.330002,60.290001,57.144844,3001700
2022-02-17,60.220001,60.369999,59.240002,59.259998,56.168575,2716100
2022-02-18,59.250000,59.910000,58.759998,58.900002,55.827358,3198000
2022-02-22,58.349998,59.029999,56.910000,57.130001,54.149693,3316400
2022-02-23,57.689999,58.380001,56.549999,56.779999,53.817955,3477400
2022-02-24,55.090000,55.959999,54.369999,55.840000,52.926987,6516000
2022-02-25,50.750000,53.049999,49.160000,51.459999,48.775482,14711100
2022-02-28,50.810001,52.009998,50.310001,50.959999,48.301567,6844300
2022-03-01,50.020000,50.540001,49.599998,49.880001,47.277905,5359800
2022-03-02,50.470001,53.849998,50.270000,53.599998,50.803841,6072200
2022-03-03,53.380001,53.950001,52.470001,52.590000,49.846535,4004200
2022-03-04,52.080002,52.490002,51.400002,51.959999,49.249401,2984600
2022-03-07,51.419998,51.740002,48.980000,49.330002,46.756599,4649800
2022-03-08,49.750000,51.520000,49.049999,50.240002,47.619125,5920600
2022-03-09,51.450001,52.560001,51.130001,51.980000,49.268353,4199800
2022-03-10,51.310001,52.200001,51.029999,51.970001,49.258873,3590400
2022-03-11,52.000000,52.730000,51.540001,52.009998,49.296783,2977400
2022-03-14,51.860001,52.560001,50.380001,50.740002,48.093044,3406400
2022-03-15,50.740002,52.200001,50.560001,52.080002,49.363144,2477400
2022-03-16,51.520000,52.430000,50.619999,51.970001,49.258873,5130700
2022-03-17,51.430000,51.459999,49.520000,50.509998,47.875038,5634300
2022-03-18,50.410000,51.889999,50.029999,51.830002,49.126179,4907200
2022-03-21,51.750000,52.970001,51.680000,52.320000,49.590611,3853500
2022-03-22,52.439999,53.330002,52.299999,52.990002,50.225666,2764900
2022-03-23,52.570000,53.389999,52.500000,52.599998,49.856007,2895900
2022-03-24,52.630001,53.849998,52.430000,53.509998,50.718536,2806000
2022-03-25,53.500000,54.880001,53.360001,54.790001,51.931767,3715400
2022-03-28,54.250000,54.580002,53.720001,54.299999,51.467323,2892100
2022-03-29,54.790001,55.299999,54.310001,55.029999,52.159245,3417800
2022-03-30,54.700001,55.250000,54.180000,54.320000,51.486282,2829000
2022-03-31,51.299999,51.669998,50.169998,50.189999,47.571728,6459300
2022-04-01,48.570000,49.000000,47.610001,48.799999,46.254246,8086300
2022-04-04,48.939999,49.840000,48.750000,49.380001,46.803989,3326400
2022-04-05,48.860001,49.590000,48.660000,48.660000,46.121548,3335000
2022-04-06,48.240002,48.439999,46.750000,47.119999,44.661888,6815300
2022-04-07,47.520000,48.709999,46.930000,47.689999,45.202145,6182900
2022-04-08,47.439999,48.099998,47.119999,47.389999,44.917805,3707700
2022-04-11,46.930000,48.029999,46.750000,46.950001,44.500755,3663000
2022-04-12,47.029999,47.779999,47.009998,47.099998,44.642933,3970200
2022-04-13,46.939999,47.720001,46.910000,47.310001,44.841976,3200100
2022-04-14,47.160000,47.689999,46.889999,46.939999,44.491276,3678200
2022-04-18,46.700001,47.820000,46.630001,47.439999,44.965187,3565000
2022-04-19,47.150002,48.150002,47.070000,47.990002,45.805130,4394000
2022-04-20,48.500000,49.619999,48.500000,49.000000,46.769146,3039900
2022-04-21,49.160000,49.490002,47.900002,48.209999,46.015114,3098800
2022-04-22,48.009998,48.009998,46.830002,46.869999,44.736118,4111900
2022-04-25,46.540001,47.290001,45.939999,47.270000,45.117908,6537200
2022-04-26,46.980000,47.680000,46.470001,46.509998,44.392513,4114600
2022-04-27,46.509998,47.320000,45.730000,46.549999,44.430687,3404400
2022-04-28,47.130001,48.430000,46.860001,48.119999,45.929207,2604600
2022-04-29,47.740002,49.220001,46.930000,47.009998,44.869743,4124000
2022-05-02,46.759998,47.540001,46.400002,47.500000,45.337437,3573200
2022-05-03,47.650002,48.259998,47.220001,47.849998,45.671501,2943600
2022-05-04,48.169998,49.040001,47.230000,48.810001,46.587799,4166600
2022-05-05,48.650002,48.860001,46.910000,47.259998,45.108356,3265300
2022-05-06,46.750000,46.930000,45.360001,45.580002,43.504852,5542700
2022-05-09,44.970001,45.820000,44.680000,45.189999,43.132599,4320500
2022-05-10,46.049999,46.250000,44.730000,45.500000,43.428493,5163100
2022-05-11,45.369999,46.230000,44.340000,44.410000,42.388119,4552400
2022-05-12,44.169998,44.900002,43.169998,43.740002,41.748623,5832700
2022-05-13,44.250000,45.610001,44.180000,45.090000,43.037159,4100500
